"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2023","3.825","3.730","3.833","3.696","16.45M","3.35%"
"04/13/2023","3.701","3.715","3.732","3.675","7.76M","-0.22%"
"04/12/2023","3.709","3.719","3.760","3.696","9.24M","0.05%"
"04/11/2023","3.707","3.710","3.755","3.683","8.37M","0.57%"
"04/06/2023","3.686","3.596","3.699","3.595","7.64M","2.50%"
"04/05/2023","3.596","3.629","3.642","3.562","6.88M","-0.85%"
"04/04/2023","3.627","3.603","3.686","3.594","8.35M","0.72%"
"04/03/2023","3.601","3.605","3.669","3.577","8.78M","-0.11%"
"03/31/2023","3.605","3.670","3.672","3.563","10.10M","-1.37%"
"03/30/2023","3.655","3.612","3.694","3.593","11.30M","1.53%"
"03/29/2023","3.600","3.490","3.613","3.474","15.10M","3.72%"
"03/28/2023","3.471","3.472","3.505","3.424","9.53M","0.96%"
"03/27/2023","3.438","3.473","3.494","3.373","8.64M","1.03%"
"03/24/2023","3.403","3.519","3.519","3.312","23.91M","-4.14%"
"03/23/2023","3.550","3.630","3.678","3.546","12.96M","-3.01%"
"03/22/2023","3.660","3.770","3.810","3.660","15.70M","-2.66%"
"03/21/2023","3.760","3.740","3.811","3.712","14.78M","2.51%"
"03/20/2023","3.668","3.400","3.757","3.310","26.56M","3.85%"
"03/17/2023","3.532","3.554","3.647","3.471","39.09M","-0.23%"
"03/16/2023","3.540","3.601","3.623","3.435","19.15M","1.35%"
"03/15/2023","3.493","3.768","3.792","3.490","21.31M","-7.13%"
"03/14/2023","3.761","3.650","3.776","3.574","27.46M","1.87%"
"03/13/2023","3.692","4.000","4.000","3.610","35.79M","-8.09%"
"03/10/2023","4.017","4.010","4.041","3.947","19.31M","-2.97%"
"03/09/2023","4.140","4.228","4.237","4.132","11.22M","-1.92%"
"03/08/2023","4.221","4.139","4.257","4.123","10.96M","1.39%"
"03/07/2023","4.163","4.227","4.246","4.162","9.36M","-1.07%"
"03/06/2023","4.208","4.129","4.208","4.124","14.21M","2.31%"
"03/03/2023","4.113","4.081","4.146","4.069","11.48M","1.08%"
"03/02/2023","4.069","4.090","4.114","4.035","13.12M","-1.38%"
"03/01/2023","4.126","4.130","4.211","4.114","14.92M","0.02%"
"02/28/2023","4.125","4.080","4.206","4.047","21.18M","1.00%"
"02/27/2023","4.084","4.028","4.126","4.010","9.65M","2.30%"
"02/24/2023","3.992","4.075","4.076","3.992","7.05M","-1.87%"
"02/23/2023","4.068","3.975","4.077","3.935","9.94M","2.42%"
"02/22/2023","3.972","4.000","4.051","3.925","14.43M","-1.93%"
"02/21/2023","4.050","4.118","4.131","4.024","17.93M","-1.29%"
"02/20/2023","4.103","4.225","4.235","4.095","12.42M","-2.47%"
"02/17/2023","4.207","4.203","4.273","4.174","16.58M","0.89%"
"02/16/2023","4.170","4.116","4.170","4.087","8.15M","1.71%"
"02/15/2023","4.100","4.129","4.144","4.059","10.51M","-0.85%"
"02/14/2023","4.135","4.170","4.176","4.117","5.61M","-0.60%"
"02/13/2023","4.160","4.160","4.194","4.133","11.27M","0.17%"
"02/10/2023","4.153","4.200","4.254","4.142","10.85M","-1.21%"
"02/09/2023","4.204","4.238","4.266","4.183","16.58M","-0.12%"
"02/08/2023","4.209","4.345","4.350","4.131","36.61M","-2.00%"
"02/07/2023","4.295","4.240","4.315","4.187","18.24M","1.90%"
"02/06/2023","4.215","4.095","4.215","4.076","13.40M","2.73%"
"02/03/2023","4.103","4.106","4.140","4.022","12.88M","0.00%"
"02/02/2023","4.103","4.170","4.225","4.041","17.47M","-1.72%"
"02/01/2023","4.175","4.095","4.208","4.090","16.90M","1.16%"
"01/31/2023","4.127","4.093","4.147","4.050","14.67M","2.66%"
"01/30/2023","4.020","4.020","4.060","3.998","9.80M","-0.37%"
"01/27/2023","4.035","4.030","4.079","4.001","12.44M","0.67%"
"01/26/2023","4.008","3.940","4.045","3.934","18.11M","2.09%"
"01/25/2023","3.926","3.910","3.948","3.873","8.73M","0.43%"
"01/24/2023","3.909","3.869","3.914","3.835","9.95M","1.27%"
"01/23/2023","3.860","3.820","3.887","3.820","6.43M","1.05%"
"01/20/2023","3.820","3.822","3.848","3.782","7.32M","1.00%"
