"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2023","14.8050","14.1900","14.8100","14.1650","4.53M","4.52%"
"04/13/2023","14.1650","14.4100","14.4250","14.0300","2.27M","-1.70%"
"04/12/2023","14.4100","14.3000","14.4700","14.1950","3.31M","1.02%"
"04/11/2023","14.2650","14.1000","14.2650","13.9800","2.91M","1.86%"
"04/06/2023","14.0050","13.7200","14.0600","13.6400","2.39M","2.56%"
"04/05/2023","13.6550","14.0200","14.0200","13.5600","2.54M","-1.59%"
"04/04/2023","13.8750","13.8900","14.0950","13.8200","2.31M","-0.29%"
"04/03/2023","13.9150","14.1500","14.2600","13.9050","2.95M","-1.59%"
"03/31/2023","14.1400","14.3900","14.4600","14.0900","2.71M","-1.91%"
"03/30/2023","14.4150","14.2400","14.4600","14.1250","2.69M","1.87%"
"03/29/2023","14.1500","13.9500","14.1500","13.8400","1.73M","1.87%"
"03/28/2023","13.8900","13.9900","14.0650","13.7600","1.62M","0.73%"
"03/27/2023","13.7900","14.1500","14.1650","13.5800","2.62M","1.32%"
"03/24/2023","13.6100","13.7850","13.8150","13.2800","3.43M","-2.23%"
"03/23/2023","13.9200","13.9000","14.2000","13.8200","2.21M","-0.96%"
"03/22/2023","14.0550","14.1400","14.2050","13.8450","3.93M","0.82%"
"03/21/2023","13.9400","13.4750","14.1100","13.4000","5.16M","5.41%"
"03/20/2023","13.2250","12.3600","13.3150","12.1000","4.89M","3.68%"
"03/17/2023","12.7550","13.4050","13.5400","12.7050","7.13M","-4.06%"
"03/16/2023","13.2950","13.5800","13.7700","12.9050","5.13M","2.11%"
"03/15/2023","13.0200","14.0550","14.0950","12.9800","6.62M","-7.63%"
"03/14/2023","14.0950","13.7700","14.1400","13.4100","6.19M","1.73%"
"03/13/2023","13.8550","14.7900","14.7950","13.4400","8.66M","-6.32%"
"03/10/2023","14.7900","14.9950","15.0400","14.5800","6.01M","-4.58%"
"03/09/2023","15.5000","16.2700","16.2700","15.5000","4.13M","-4.67%"
"03/08/2023","16.2600","16.0000","16.2850","15.9300","1.07M","0.81%"
"03/07/2023","16.1300","16.2550","16.3100","16.0800","1.29M","-0.22%"
"03/06/2023","16.1650","16.5000","16.5500","16.0600","1.99M","-1.49%"
"03/03/2023","16.4100","16.2550","16.4100","16.1900","1.28M","1.05%"
"03/02/2023","16.2400","16.0450","16.2400","15.9100","1.22M","0.87%"
"03/01/2023","16.1000","16.3900","16.5400","16.0950","1.20M","-1.53%"
"02/28/2023","16.3500","15.9450","16.4300","15.8650","3.02M","1.77%"
"02/27/2023","16.0650","16.0000","16.2000","15.9750","1.55M","1.65%"
"02/24/2023","15.8050","16.0050","16.0900","15.7550","1.42M","-1.25%"
"02/23/2023","16.0050","15.8950","16.1500","15.8200","2.31M","1.39%"
"02/22/2023","15.7850","16.3800","16.4400","15.6500","4.27M","-4.77%"
"02/21/2023","16.5750","16.4200","16.6300","16.3550","1.45M","0.76%"
"02/20/2023","16.4500","16.7350","16.7350","16.4250","936.27K","-1.61%"
"02/17/2023","16.7200","16.8000","16.8900","16.6100","2.14M","-1.33%"
"02/16/2023","16.9450","16.5850","16.9450","16.5250","2.12M","2.76%"
"02/15/2023","16.4900","16.5750","16.7000","16.4600","1.10M","-0.84%"
"02/14/2023","16.6300","16.5650","16.7500","16.5250","1.23M","0.21%"
"02/13/2023","16.5950","16.3200","16.5950","16.3150","1.50M","2.25%"
"02/10/2023","16.2300","16.8900","16.9100","16.1900","3.75M","-4.47%"
"02/09/2023","16.9900","16.9600","17.2400","16.8950","2.01M","1.04%"
"02/08/2023","16.8150","17.0500","17.0700","16.3700","2.97M","-0.56%"
"02/07/2023","16.9100","16.6500","17.2900","16.4350","4.07M","1.65%"
"02/06/2023","16.6350","16.7000","16.8200","16.2200","3.16M","-1.89%"
"02/03/2023","16.9550","16.5350","16.9700","16.4000","3.12M","2.73%"
"02/02/2023","16.5050","16.2450","16.5500","16.2050","1.95M","0.36%"
"02/01/2023","16.4450","16.5500","16.6000","16.3100","1.47M","-0.03%"
"01/31/2023","16.4500","16.5200","16.8000","16.2200","2.04M","0.70%"
"01/30/2023","16.3350","16.2900","16.4350","16.2450","1.10M","-0.55%"
"01/27/2023","16.4250","16.3700","16.5200","16.3400","1.57M","0.43%"
"01/26/2023","16.3550","16.1000","16.4500","16.1000","1.77M","2.51%"
"01/25/2023","15.9550","16.1000","16.2000","15.8500","1.14M","-0.37%"
"01/24/2023","16.0150","16.2300","16.3150","15.9100","2.04M","-1.32%"
"01/23/2023","16.2300","16.4350","16.6000","16.2300","1.15M","-1.25%"
"01/20/2023","16.4350","16.1800","16.4350","16.1800","1.10M","1.23%"
"01/19/2023","16.2350","16.4100","16.6350","16.2300","1.93M","-1.73%"
"01/18/2023","16.5200","16.5500","16.7400","16.4300","1.58M","-0.48%"
"01/17/2023","16.6000","16.6550","16.6750","16.1400","2.70M","-0.87%"
"01/16/2023","16.7450","16.6300","16.7850","16.5600","986.36K","0.57%"
"01/13/2023","16.6500","16.7600","16.8350","16.5500","1.25M","-0.39%"
"01/12/2023","16.7150","16.7450","16.8250","16.4800","2.23M","-0.09%"
"01/11/2023","16.7300","16.9000","17.0300","16.6100","1.60M","-0.59%"
"01/10/2023","16.8300","16.6200","16.8400","16.3250","1.99M","1.17%"
"01/09/2023","16.6350","16.5400","16.7200","16.5200","1.37M","0.85%"
"01/06/2023","16.4950","16.4300","16.7000","16.4100","1.31M","0.70%"
"01/05/2023","16.3800","16.3550","16.6500","16.3100","1.73M","-0.85%"
"01/04/2023","16.5200","16.2000","16.5200","16.1450","2.17M","2.86%"
"01/03/2023","16.0600","15.6350","16.0850","15.6100","1.88M","2.33%"
"01/02/2023","15.6950","15.6450","15.6950","15.4300","864.86K","1.13%"
"12/30/2022","15.5200","15.6000","15.6550","15.5000","668.22K","-0.89%"
"12/29/2022","15.6600","15.3550","15.6600","15.3050","1.06M","1.85%"
"12/28/2022","15.3750","15.3350","15.4250","15.2900","563.45K","0.36%"
"12/27/2022","15.3200","15.3800","15.4300","15.2900","705.34K","0.33%"
"12/23/2022","15.2700","15.3000","15.3900","15.2000","637.13K","0.00%"
"12/22/2022","15.2700","15.3200","15.4600","15.1950","1.06M","-0.46%"
"12/21/2022","15.3400","15.2200","15.3550","15.0300","1.22M","1.49%"
