"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2023","2.4685","2.4015","2.4765","2.3920","131.48M","3.37%"
"04/13/2023","2.3880","2.3950","2.4085","2.3800","66.21M","-0.31%"
"04/12/2023","2.3955","2.3800","2.4165","2.3775","87.67M","0.78%"
"04/11/2023","2.3770","2.3700","2.3825","2.3640","63.77M","0.81%"
"04/06/2023","2.3580","2.3135","2.3580","2.3065","68.24M","2.12%"
"04/05/2023","2.3090","2.3180","2.3350","2.2845","96.65M","-0.82%"
"04/04/2023","2.3280","2.3680","2.3745","2.3240","100.31M","-1.56%"
"04/03/2023","2.3650","2.3675","2.3965","2.3635","94.35M","-0.11%"
"03/31/2023","2.3675","2.3745","2.3800","2.3400","121.34M","0.11%"
"03/30/2023","2.3650","2.3440","2.3795","2.3355","85.31M","1.59%"
"03/29/2023","2.3280","2.3000","2.3325","2.2895","127.11M","1.50%"
"03/28/2023","2.2935","2.3020","2.3090","2.2715","99.58M","0.97%"
"03/27/2023","2.2715","2.3050","2.3180","2.2630","118.53M","0.38%"
"03/24/2023","2.2630","2.3015","2.3035","2.2025","208.66M","-2.41%"
"03/23/2023","2.3190","2.3200","2.3650","2.3055","130.70M","-1.02%"
"03/22/2023","2.3430","2.3500","2.3945","2.3320","138.06M","-0.51%"
"03/21/2023","2.3550","2.3165","2.3720","2.3065","175.41M","3.52%"
"03/20/2023","2.2750","2.1500","2.3015","2.0820","260.03M","3.74%"
"03/17/2023","2.1930","2.2700","2.3040","2.1710","271.40M","-2.45%"
"03/16/2023","2.2480","2.3100","2.3285","2.2010","222.60M","0.20%"
"03/15/2023","2.2435","2.4000","2.4240","2.2185","282.19M","-6.85%"
"03/14/2023","2.4085","2.3320","2.4220","2.3100","191.16M","3.35%"
"03/13/2023","2.3305","2.4705","2.4780","2.2790","311.90M","-6.10%"
"03/10/2023","2.4820","2.4500","2.4820","2.4050","162.78M","-1.96%"
"03/09/2023","2.5315","2.5760","2.5785","2.5200","106.75M","-1.59%"
"03/08/2023","2.5725","2.5540","2.5920","2.5540","92.68M","0.29%"
"03/07/2023","2.5650","2.5970","2.6020","2.5640","106.23M","-1.06%"
"03/06/2023","2.5925","2.5800","2.6030","2.5730","87.49M","0.70%"
"03/03/2023","2.5745","2.5570","2.5770","2.5500","88.74M","1.28%"
"03/02/2023","2.5420","2.5210","2.5560","2.5030","90.39M","0.20%"
"03/01/2023","2.5370","2.5785","2.5800","2.5280","118.18M","-0.96%"
"02/28/2023","2.5615","2.5200","2.5985","2.5140","226.32M","1.13%"
"02/27/2023","2.5330","2.5000","2.5580","2.4980","95.91M","1.52%"
"02/24/2023","2.4950","2.5190","2.5355","2.4915","112.23M","-0.76%"
"02/23/2023","2.5140","2.4810","2.5250","2.4700","92.98M","1.51%"
"02/22/2023","2.4765","2.5400","2.5515","2.4645","156.48M","-3.00%"
"02/21/2023","2.5530","2.5460","2.5675","2.5010","120.67M","-0.04%"
"02/20/2023","2.5540","2.5730","2.5780","2.5530","104.40M","-0.41%"
"02/17/2023","2.5645","2.5545","2.5815","2.5240","134.83M","0.53%"
"02/16/2023","2.5510","2.5000","2.5540","2.5000","158.26M","2.24%"
"02/15/2023","2.4950","2.5005","2.5125","2.4690","111.84M","-0.30%"
"02/14/2023","2.5025","2.5100","2.5210","2.4970","101.71M","0.14%"
"02/13/2023","2.4990","2.4780","2.5065","2.4655","120.40M","0.89%"
"02/10/2023","2.4770","2.5000","2.5040","2.4510","124.44M","-1.08%"
"02/09/2023","2.5040","2.4875","2.5215","2.4810","129.58M","1.42%"
"02/08/2023","2.4690","2.4875","2.4970","2.4630","106.29M","0.02%"
"02/07/2023","2.4685","2.4600","2.5000","2.4380","162.59M","0.88%"
"02/06/2023","2.4470","2.3950","2.4595","2.3675","147.71M","2.69%"
"02/03/2023","2.3830","2.4600","2.4850","2.3505","244.63M","-2.93%"
"02/02/2023","2.4550","2.4705","2.4780","2.4050","143.42M","0.08%"
"02/01/2023","2.4530","2.4420","2.4700","2.4315","164.61M","1.78%"
"01/31/2023","2.4100","2.3780","2.4230","2.3590","202.99M","2.82%"
"01/30/2023","2.3440","2.3445","2.3610","2.3290","96.29M","-0.30%"
"01/27/2023","2.3510","2.3475","2.3595","2.3315","92.81M","0.36%"
"01/26/2023","2.3425","2.3100","2.3480","2.3040","119.61M","2.07%"
"01/25/2023","2.2950","2.2925","2.3020","2.2755","94.74M","0.42%"
"01/24/2023","2.2855","2.2440","2.2900","2.2350","91.61M","2.05%"
"01/23/2023","2.2395","2.2440","2.2545","2.2200","106.88M","2.71%"
"01/20/2023","2.1805","2.2415","2.2535","2.1525","133.34M","-1.91%"
"01/19/2023","2.2230","2.2390","2.2475","2.2040","92.00M","-1.20%"
"01/18/2023","2.2500","2.2660","2.2800","2.2410","84.27M","-0.49%"
"01/17/2023","2.2610","2.2895","2.2955","2.2335","114.69M","-1.05%"
"01/16/2023","2.2850","2.2990","2.3100","2.2730","71.30M","-0.13%"
"01/13/2023","2.2880","2.2840","2.3040","2.2620","93.84M","0.18%"
"01/12/2023","2.2840","2.2645","2.2895","2.2615","103.70M","1.08%"
"01/11/2023","2.2595","2.2510","2.2660","2.2350","96.26M","0.42%"
"01/10/2023","2.2500","2.2295","2.2500","2.2195","85.97M","0.96%"
"01/09/2023","2.2285","2.2400","2.2475","2.2215","88.26M","-0.22%"
"01/06/2023","2.2335","2.2255","2.2390","2.2185","90.07M","0.84%"
"01/05/2023","2.2150","2.2210","2.2320","2.2045","77.08M","-0.61%"
"01/04/2023","2.2285","2.1800","2.2335","2.1755","129.23M","2.58%"
"01/03/2023","2.1725","2.1150","2.1755","2.1130","121.08M","2.33%"
"01/02/2023","2.1230","2.0910","2.1375","2.0900","71.01M","2.17%"
"12/30/2022","2.0780","2.0950","2.1015","2.0780","38.31M","-1.38%"
"12/29/2022","2.1070","2.0780","2.1090","2.0670","56.05M","1.27%"
"12/28/2022","2.0805","2.0915","2.0925","2.0745","31.44M","-0.07%"
"12/27/2022","2.0820","2.1100","2.1115","2.0780","32.08M","-0.50%"
"12/23/2022","2.0925","2.0900","2.1015","2.0825","42.83M","0.41%"
"12/22/2022","2.0840","2.1075","2.1180","2.0765","48.17M","-0.79%"
"12/21/2022","2.1005","2.0875","2.1060","2.0610","75.42M","1.20%"
"12/20/2022","2.0755","2.0180","2.0810","2.0060","79.77M","2.02%"
"12/19/2022","2.0345","2.0550","2.0650","2.0335","62.88M","-1.14%"
"12/16/2022","2.0580","1.9980","2.0580","1.9960","226.81M","3.19%"
"12/15/2022","1.9944","2.0745","2.0835","1.9944","170.52M","-4.46%"
"12/14/2022","2.0875","2.1000","2.1025","2.0760","55.35M","-0.64%"
"12/13/2022","2.1010","2.0710","2.1145","2.0705","91.52M","1.57%"
"12/12/2022","2.0685","2.0655","2.0825","2.0520","53.84M","0.07%"
"12/09/2022","2.0670","2.0690","2.0800","2.0300","80.15M","0.46%"
"12/08/2022","2.0575","2.0725","2.0750","2.0480","36.68M","-0.19%"
"12/07/2022","2.0615","2.0610","2.0845","2.0425","68.04M","-0.24%"
"12/06/2022","2.0665","2.0735","2.0820","2.0610","80.03M","-0.58%"
"12/05/2022","2.0785","2.0960","2.1070","2.0765","52.78M","-0.86%"
"12/02/2022","2.0965","2.0940","2.0995","2.0690","72.51M","0.58%"
"12/01/2022","2.0845","2.1345","2.1395","2.0780","115.09M","-1.77%"
"11/30/2022","2.1220","2.1460","2.1585","2.1180","109.85M","-0.59%"
"11/29/2022","2.1345","2.1270","2.1415","2.0880","75.79M","0.87%"
"11/28/2022","2.1160","2.1490","2.1490","2.1160","72.65M","-1.97%"
"11/25/2022","2.1585","2.1585","2.1730","2.1475","51.84M","-0.07%"
"11/24/2022","2.1600","2.1525","2.1625","2.1450","53.34M","0.72%"
"11/23/2022","2.1445","2.1620","2.1670","2.1290","77.66M","-0.74%"
"11/22/2022","2.1605","2.1460","2.1730","2.1390","71.15M","0.91%"
"11/21/2022","2.1410","2.1905","2.1960","2.1365","121.82M","-3.41%"
"11/18/2022","2.2165","2.1850","2.2175","2.1785","144.86M","1.77%"
"11/17/2022","2.1780","2.1990","2.2045","2.1465","125.06M","-0.57%"
"11/16/2022","2.1905","2.1810","2.1985","2.1795","83.94M","0.02%"
"11/15/2022","2.1900","2.1940","2.2040","2.1585","98.33M","0.16%"
"11/14/2022","2.1865","2.1700","2.1950","2.1610","76.48M","1.20%"
"11/11/2022","2.1605","2.1820","2.1880","2.1570","106.81M","-0.76%"
"11/10/2022","2.1770","2.1420","2.2080","2.1410","131.92M","1.07%"
"11/09/2022","2.1540","2.1600","2.1800","2.1330","96.24M","0.28%"
"11/08/2022","2.1480","2.1280","2.1570","2.1235","100.21M","0.89%"
"11/07/2022","2.1290","2.0600","2.1315","2.0555","157.50M","3.10%"
"11/04/2022","2.0650","1.9870","2.0735","1.9640","219.30M","4.84%"
"11/03/2022","1.9696","1.9296","1.9700","1.9254","78.54M","1.28%"
"11/02/2022","1.9448","1.9568","1.9610","1.9304","88.96M","-0.02%"
"11/01/2022","1.9452","1.9400","1.9698","1.9368","98.27M","0.84%"
"10/31/2022","1.9290","1.9108","1.9344","1.9056","105.45M","1.25%"
"10/28/2022","1.9052","1.8900","1.9086","1.8684","82.68M","-0.03%"
"10/27/2022","1.9058","1.8624","1.9058","1.8378","138.28M","2.14%"
"10/26/2022","1.8658","1.8700","1.8794","1.8424","82.37M","0.06%"
"10/25/2022","1.8646","1.8684","1.8720","1.8240","86.46M","0.47%"
"10/24/2022","1.8558","1.8400","1.8698","1.8230","81.16M","1.54%"
"10/21/2022","1.8276","1.8064","1.8338","1.7932","77.55M","-0.08%"
"10/20/2022","1.8290","1.7840","1.8346","1.7750","69.46M","2.09%"
"10/19/2022","1.7916","1.8074","1.8282","1.7916","71.67M","-0.62%"
"10/18/2022","1.8028","1.7650","1.8236","1.7622","123.18M","3.43%"
"10/17/2022","1.7430","1.7220","1.7432","1.7088","77.30M","1.79%"
"10/14/2022","1.7124","1.7400","1.7516","1.7124","112.83M","0.35%"
