"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2023","22.40","21.68","22.56","21.48","5.48M","3.66%"
"04/13/2023","21.61","21.60","21.75","21.46","2.27M","-0.18%"
"04/12/2023","21.65","21.70","21.87","21.55","3.38M","0.46%"
"04/11/2023","21.55","21.66","21.77","21.46","3.72M","0.75%"
"04/06/2023","21.39","21.14","21.45","21.09","3.00M","1.62%"
"04/05/2023","21.05","21.20","21.24","20.70","4.16M","-0.52%"
"04/04/2023","21.16","21.37","21.59","21.16","3.76M","-0.66%"
"04/03/2023","21.30","20.96","21.59","20.83","4.91M","2.45%"
"03/31/2023","20.79","20.80","20.88","20.38","5.05M","0.10%"
"03/30/2023","20.77","20.34","21.02","20.21","5.33M","3.18%"
"03/29/2023","20.13","19.84","20.18","19.69","5.18M","1.92%"
"03/28/2023","19.75","20.39","20.53","19.33","7.98M","-1.05%"
"03/27/2023","19.96","20.50","20.78","19.56","7.48M","0.30%"
"03/24/2023","19.90","20.93","20.96","19.33","11.36M","-6.13%"
"03/23/2023","21.20","21.35","21.66","21.17","4.94M","-2.30%"
"03/22/2023","21.70","21.95","22.51","21.66","5.10M","-1.05%"
"03/21/2023","21.93","21.66","22.05","21.39","7.00M","4.33%"
"03/20/2023","21.02","20.11","21.49","19.47","11.10M","-0.85%"
"03/17/2023","21.20","21.87","22.32","20.81","14.66M","-0.14%"
"03/16/2023","21.23","22.57","22.65","20.88","13.78M","-1.26%"
"03/15/2023","21.50","24.38","24.39","21.15","18.10M","-12.17%"
"03/14/2023","24.48","23.62","24.84","23.48","7.95M","2.30%"
"03/13/2023","23.93","25.48","25.48","23.61","9.00M","-6.23%"
"03/10/2023","25.52","25.65","25.65","24.89","8.57M","-4.53%"
"03/09/2023","26.73","27.11","27.18","26.70","2.95M","-1.51%"
"03/08/2023","27.14","26.96","27.35","26.82","2.55M","0.00%"
"03/07/2023","27.14","27.44","27.52","27.08","4.45M","-1.06%"
"03/06/2023","27.43","27.05","27.43","27.04","4.22M","1.86%"
"03/03/2023","26.93","26.52","26.95","26.48","2.28M","1.70%"
"03/02/2023","26.48","26.50","26.60","26.16","3.31M","-0.30%"
"03/01/2023","26.56","27.36","27.42","26.52","4.06M","-2.78%"
"02/28/2023","27.32","26.59","27.70","26.44","5.18M","1.98%"
"02/27/2023","26.79","26.50","27.05","26.49","2.60M","1.52%"
"02/24/2023","26.39","26.75","26.86","26.37","3.08M","-1.57%"
"02/23/2023","26.81","26.70","27.02","26.62","3.13M","0.22%"
"02/22/2023","26.75","27.00","27.20","26.34","5.89M","-1.94%"
"02/21/2023","27.28","27.61","27.67","27.06","3.82M","-1.62%"
"02/20/2023","27.73","27.97","28.06","27.54","2.91M","-0.47%"
"02/17/2023","27.86","27.88","28.13","27.59","5.03M","-0.50%"
"02/16/2023","28.00","26.95","28.13","26.95","7.04M","4.48%"
"02/15/2023","26.80","26.34","26.81","26.27","4.46M","1.09%"
"02/14/2023","26.51","26.16","26.66","26.11","2.79M","0.23%"
"02/13/2023","26.45","26.29","26.65","26.09","2.84M","0.76%"
"02/10/2023","26.25","26.41","26.84","25.89","4.97M","-1.13%"
"02/09/2023","26.55","26.50","26.71","26.32","5.89M","-0.23%"
"02/08/2023","26.61","27.90","28.16","26.46","10.56M","-5.03%"
"02/07/2023","28.02","27.75","28.39","27.45","4.70M","1.71%"
"02/06/2023","27.55","27.61","27.66","27.23","3.37M","-1.04%"
"02/03/2023","27.84","27.56","27.86","27.29","3.98M","1.24%"
"02/02/2023","27.50","27.55","27.82","27.21","4.01M","0.44%"
"02/01/2023","27.38","27.38","27.57","27.22","3.27M","0.37%"
"01/31/2023","27.28","26.95","27.39","26.86","4.84M","2.52%"
"01/30/2023","26.61","26.55","26.81","26.36","3.10M","0.04%"
"01/27/2023","26.60","25.54","26.77","25.52","5.94M","4.48%"
"01/26/2023","25.46","25.18","25.54","25.10","3.19M","1.92%"
"01/25/2023","24.98","25.07","25.16","24.66","1.98M","-0.44%"
"01/24/2023","25.09","24.82","25.12","24.63","2.36M","1.58%"
"01/23/2023","24.70","24.70","24.86","24.55","1.96M","0.90%"
"01/20/2023","24.48","24.35","24.59","24.32","2.03M","1.12%"
"01/19/2023","24.21","24.36","24.54","23.95","3.27M","-2.10%"
"01/18/2023","24.73","24.55","24.92","24.55","2.51M","0.65%"
"01/17/2023","24.57","24.79","24.96","24.31","3.33M","-0.89%"
"01/16/2023","24.79","24.80","24.94","24.55","1.74M","0.36%"
"01/13/2023","24.70","24.93","25.02","24.32","3.06M","-0.56%"
"01/12/2023","24.84","24.21","25.02","24.20","4.17M","2.43%"
"01/11/2023","24.25","24.40","24.46","24.11","3.68M","-1.22%"
"01/10/2023","24.55","24.86","24.97","24.34","3.96M","-2.07%"
"01/09/2023","25.07","25.59","25.64","25.05","3.76M","-1.72%"
"01/06/2023","25.51","25.46","25.65","25.25","2.68M","0.28%"
"01/05/2023","25.44","25.11","25.61","24.93","3.92M","-0.12%"
"01/04/2023","25.47","24.70","25.58","24.70","5.32M","3.66%"
"01/03/2023","24.57","24.23","24.74","24.17","3.02M","1.61%"
"01/02/2023","24.18","23.70","24.28","23.64","2.59M","2.98%"
"12/30/2022","23.48","23.51","23.66","23.41","1.40M","-0.59%"
"12/29/2022","23.62","23.50","23.79","23.41","1.38M","0.43%"
"12/28/2022","23.52","23.71","23.72","23.45","1.21M","-0.47%"
"12/27/2022","23.63","23.65","23.78","23.56","1.23M","0.25%"
"12/23/2022","23.57","23.48","23.71","23.40","1.77M","0.81%"
"12/22/2022","23.38","23.52","23.77","23.35","1.73M","-0.72%"
"12/21/2022","23.55","22.89","23.57","22.84","3.78M","2.88%"
"12/20/2022","22.89","22.28","22.91","22.09","3.79M","2.23%"
"12/19/2022","22.39","22.44","22.64","22.36","2.65M","-0.09%"
"12/16/2022","22.41","22.10","22.41","21.98","7.54M","1.31%"
"12/15/2022","22.12","22.58","22.62","22.02","5.67M","-2.60%"
"12/14/2022","22.71","23.00","23.11","22.68","2.72M","-1.65%"
"12/13/2022","23.09","22.63","23.29","22.54","4.29M","2.90%"
"12/12/2022","22.44","22.52","22.64","22.36","2.77M","-0.84%"
"12/09/2022","22.63","22.33","22.66","22.23","3.66M","1.43%"
"12/08/2022","22.31","22.50","22.55","22.25","2.75M","-0.84%"
"12/07/2022","22.50","22.70","22.72","22.33","2.91M","-1.10%"
"12/06/2022","22.75","22.68","22.90","22.51","3.54M","-1.60%"
"12/05/2022","23.12","23.26","23.50","23.07","2.46M","-1.15%"
"12/02/2022","23.39","23.24","23.45","23.01","3.30M","0.13%"
"12/01/2022","23.36","24.14","24.14","23.34","4.37M","-2.63%"
"11/30/2022","23.99","24.28","24.40","23.86","4.33M","-0.33%"
"11/29/2022","24.07","24.07","24.23","23.68","2.98M","0.25%"
"11/28/2022","24.01","24.14","24.43","23.95","2.41M","-1.19%"
"11/25/2022","24.30","24.43","24.55","24.18","1.58M","-0.25%"
"11/24/2022","24.36","24.15","24.51","24.14","2.23M","1.20%"
"11/23/2022","24.07","23.97","24.17","23.78","2.68M","1.05%"
"11/22/2022","23.82","23.92","24.01","23.64","2.93M","-0.42%"
"11/21/2022","23.92","23.97","24.18","23.89","2.48M","-0.46%"
"11/18/2022","24.03","23.88","24.25","23.88","2.94M","-0.21%"
"11/17/2022","24.08","24.02","24.19","23.58","2.22M","0.84%"
"11/16/2022","23.88","24.25","24.37","23.81","3.17M","-2.17%"
"11/15/2022","24.41","24.14","24.52","24.11","2.78M","1.03%"
"11/14/2022","24.16","24.00","24.30","23.80","2.56M","0.96%"
"11/11/2022","23.93","23.78","24.12","23.62","3.16M","1.53%"
"11/10/2022","23.57","23.34","23.70","23.13","4.13M","0.73%"
"11/09/2022","23.40","23.66","23.98","23.10","3.27M","-1.76%"
"11/08/2022","23.82","23.52","24.05","23.45","2.86M","0.97%"
"11/07/2022","23.59","23.98","24.19","23.56","4.35M","-2.12%"
"11/04/2022","24.10","24.25","25.32","24.00","9.67M","2.55%"
"11/03/2022","23.50","23.32","23.51","23.05","3.29M","0.60%"
"11/02/2022","23.36","23.68","23.74","23.14","2.57M","-0.43%"
"11/01/2022","23.46","23.35","23.73","23.27","2.63M","0.99%"
"10/31/2022","23.23","23.00","23.30","22.86","2.50M","1.31%"
"10/28/2022","22.93","23.05","23.17","22.73","2.63M","-1.46%"
"10/27/2022","23.27","23.20","23.36","22.66","3.83M","0.00%"
"10/26/2022","23.27","23.38","23.47","23.12","2.33M","0.00%"
"10/25/2022","23.27","23.17","23.29","22.82","2.72M","1.13%"
"10/24/2022","23.01","22.73","23.18","22.73","3.86M","1.72%"
"10/21/2022","22.62","22.50","22.69","22.11","3.51M","-0.48%"
"10/20/2022","22.73","22.38","22.94","22.25","2.66M","0.84%"
